value,count(1)
barcelona pavilion miesvanderrohe,3
wvu,3
projectforjuanbie,3
uclmotm,3
alpolitics,3
fiesta,3
fortnite,3
sidnaaz mujhseshaadikaroge shehnaazkishaadi,3
dreamcatcher dreamcatcherfanart dreamcatcherscream,3
customvideo,3
fortheh,3
sens,3
bernie billionaires,3
thewitcher,3
johncena wwe,3
otd,3
adoptmetrades,3
ryannewman rushlimbaugh,3
doctorwho,3
lisa lisablackpink lisaxprada italia blinks,3
lhhny,3
longdick,3
myohmystreamingparty,3
badgers,3
nurown,3
ericjolliffe yrp,2
vietnamwar,2
assad,2
illegally campaignfunds gambling,2
coronavirus magu,2
starpatrol,2
mondaymotivaton,2
onevoice1,2
nevertrump,2
slc,2
covid19 sarscov,2
smileagainhanbin,2
sidnaaz shehnaazgill shehnaazkishaadi,2
syria aleppo,2
iraq,2
yelp,2
potus45,2
proudmemberofcult45,2
fact,2
thegooddoctor,2
raw,2
tropical,2
fightfor15 raisethewage,2
killstream,2
northkorea,2
tron,2
shamimpeachmenttrial,2
scicomm asc2020,2
palestinians,2
america,2
twitter,2
johnnydepp,2
new,2
crashlandingonyou,2
stlblues,2
success,2
vimeo,2
indoctrination,2
hazbinhotel hazbinhotelfanart alastor angeldust radiodust,2
newamsterdam,2
universe,2
brits2020 lewiscapaldi,2
justmythoughtscomingfromasportsjunkieregardlessmyownsportiplay,2
d40firstlook,2
happyjhopeday ourremedyjhope,2
fvsu,2
podernfamily noonecares whydoibother,2
melbourne,2
notmeus,2
buildthewall,2
rt share,2
btscarpoolfeb25,2
onemoment,2
rt,2
bcpoli,2
democrat,2
ccp,2
promisesmadepromiseskept,2
tuesdaythoughts giphyxbts,2
cwork,2
doubledomme rtgame,2
pajamajamsd,2
hongkong asbc,2
balochistan coronavirus,2
sexy,2
nicetomeetya,2
xinjiang,2
medicare socialsecurity,2
mulan crazyrichasians khenghuatan christinamkim,2
pokemon,2
tuesdaymotivation,2
pens inbryanwerust,2
crypto,2
reddie,2
ihadztotreatya,2
invisiblechains,2
tongueouttuesday,2
isles,2
alltheyearslive,2
wow tuesdaythoughts,2
paypal giveaway,2
jhope,2
gopcorruptionovercountry,2
universalcredit insidethewelfarestate,2
happybirthdaymabel,2
votekatyperry kca,2
twitterstorm freeassange,2
macron france,2
neozone,2
lisa lalisa benvenutalalisa,2
ripanitra fvsu,2
